1`HB`1138_bus`1138`1138`4054`yes`1138`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
1101`Sandia`fpga_dcop_47`1220`1220`5892`yes`1220`188`34`0`82%`33%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/fpga_dcop_48 first: Sandia/fpga_dcop_01\n
1102`Sandia`fpga_dcop_48`1220`1220`5892`yes`1220`188`34`0`82%`33%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/fpga_dcop_49 first: Sandia/fpga_dcop_01\n
1103`Sandia`fpga_dcop_49`1220`1220`5892`yes`1220`188`34`0`82%`33%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/fpga_dcop_50 first: Sandia/fpga_dcop_01\n
1104`Sandia`fpga_dcop_50`1220`1220`5892`yes`1220`188`34`0`82%`33%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/fpga_dcop_51 first: Sandia/fpga_dcop_01\n
1105`Sandia`fpga_dcop_51`1220`1220`5892`yes`1220`188`34`0`82%`33%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: - first: Sandia/fpga_dcop_01\n
1106`Sandia`fpga_trans_01`1220`1220`7382`yes`1220`133`1`0`symmetric`21%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`circuit simulation problem sequence`\nnext: Sandia/fpga_trans_02 first: Sandia/fpga_trans_01\n
1107`Sandia`fpga_trans_02`1220`1220`7382`yes`1220`133`1`0`symmetric`21%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: - first: Sandia/fpga_trans_01\n
1108`Sandia`init_adder1`1813`1813`11156`yes`1813`469`6`0`65%`2%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`circuit simulation problem sequence`\nnext: Sandia/adder_dcop_01 first: Sandia/init_adder1\n
1109`Sandia`mult_dcop_01`25187`25187`193276`yes`25187`7417`107`0`61%`0%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`circuit simulation problem sequence`\nnext: Sandia/mult_dcop_02 first: Sandia/mult_dcop_01\n
1110`Sandia`mult_dcop_02`25187`25187`193276`yes`25187`7417`107`0`61%`0%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/mult_dcop_03 first: Sandia/mult_dcop_01\n
1111`Sandia`mult_dcop_03`25187`25187`193216`yes`25187`7447`107`0`61%`1%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: - first: Sandia/mult_dcop_01\n
1112`Sandia`oscil_dcop_01`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`circuit simulation problem sequence`\nnext: Sandia/oscil_dcop_02 first: Sandia/oscil_dcop_01\n
1113`Sandia`oscil_dcop_02`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_03 first: Sandia/oscil_dcop_01\n
1114`Sandia`oscil_dcop_03`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_04 first: Sandia/oscil_dcop_01\n
1115`Sandia`oscil_dcop_04`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_05 first: Sandia/oscil_dcop_01\n
1116`Sandia`oscil_dcop_05`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_06 first: Sandia/oscil_dcop_01\n
1117`Sandia`oscil_dcop_06`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_07 first: Sandia/oscil_dcop_01\n
1118`Sandia`oscil_dcop_07`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_08 first: Sandia/oscil_dcop_01\n
1119`Sandia`oscil_dcop_08`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_09 first: Sandia/oscil_dcop_01\n
1120`Sandia`oscil_dcop_09`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_10 first: Sandia/oscil_dcop_01\n
1121`Sandia`oscil_dcop_10`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_11 first: Sandia/oscil_dcop_01\n
1122`Sandia`oscil_dcop_11`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_12 first: Sandia/oscil_dcop_01\n
1123`Sandia`oscil_dcop_12`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_13 first: Sandia/oscil_dcop_01\n
1124`Sandia`oscil_dcop_13`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_14 first: Sandia/oscil_dcop_01\n
1125`Sandia`oscil_dcop_14`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_15 first: Sandia/oscil_dcop_01\n
1126`Sandia`oscil_dcop_15`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_16 first: Sandia/oscil_dcop_01\n
1127`Sandia`oscil_dcop_16`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_17 first: Sandia/oscil_dcop_01\n
1128`Sandia`oscil_dcop_17`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_18 first: Sandia/oscil_dcop_01\n
1129`Sandia`oscil_dcop_18`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_19 first: Sandia/oscil_dcop_01\n
1130`Sandia`oscil_dcop_19`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_20 first: Sandia/oscil_dcop_01\n
1131`Sandia`oscil_dcop_20`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_21 first: Sandia/oscil_dcop_01\n
1132`Sandia`oscil_dcop_21`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_22 first: Sandia/oscil_dcop_01\n
1133`Sandia`oscil_dcop_22`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_23 first: Sandia/oscil_dcop_01\n
1134`Sandia`oscil_dcop_23`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_24 first: Sandia/oscil_dcop_01\n
1135`Sandia`oscil_dcop_24`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_25 first: Sandia/oscil_dcop_01\n
1136`Sandia`oscil_dcop_25`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_26 first: Sandia/oscil_dcop_01\n
1137`Sandia`oscil_dcop_26`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_27 first: Sandia/oscil_dcop_01\n
1138`Sandia`oscil_dcop_27`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_28 first: Sandia/oscil_dcop_01\n
1139`Sandia`oscil_dcop_28`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_29 first: Sandia/oscil_dcop_01\n
1140`Sandia`oscil_dcop_29`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_30 first: Sandia/oscil_dcop_01\n
1141`Sandia`oscil_dcop_30`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_31 first: Sandia/oscil_dcop_01\n
1142`Sandia`oscil_dcop_31`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_32 first: Sandia/oscil_dcop_01\n
1143`Sandia`oscil_dcop_32`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_33 first: Sandia/oscil_dcop_01\n
1144`Sandia`oscil_dcop_33`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_34 first: Sandia/oscil_dcop_01\n
1145`Sandia`oscil_dcop_34`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_35 first: Sandia/oscil_dcop_01\n
1146`Sandia`oscil_dcop_35`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_36 first: Sandia/oscil_dcop_01\n
1147`Sandia`oscil_dcop_36`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_37 first: Sandia/oscil_dcop_01\n
1148`Sandia`oscil_dcop_37`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_38 first: Sandia/oscil_dcop_01\n
1149`Sandia`oscil_dcop_38`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_39 first: Sandia/oscil_dcop_01\n
1150`Sandia`oscil_dcop_39`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_40 first: Sandia/oscil_dcop_01\n
1151`Sandia`oscil_dcop_40`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_41 first: Sandia/oscil_dcop_01\n
1152`Sandia`oscil_dcop_41`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_42 first: Sandia/oscil_dcop_01\n
1153`Sandia`oscil_dcop_42`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_43 first: Sandia/oscil_dcop_01\n
1154`Sandia`oscil_dcop_43`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_44 first: Sandia/oscil_dcop_01\n
1155`Sandia`oscil_dcop_44`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_45 first: Sandia/oscil_dcop_01\n
1156`Sandia`oscil_dcop_45`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_46 first: Sandia/oscil_dcop_01\n
1157`Sandia`oscil_dcop_46`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_47 first: Sandia/oscil_dcop_01\n
1158`Sandia`oscil_dcop_47`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_48 first: Sandia/oscil_dcop_01\n
1159`Sandia`oscil_dcop_48`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_49 first: Sandia/oscil_dcop_01\n
1160`Sandia`oscil_dcop_49`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_50 first: Sandia/oscil_dcop_01\n
1161`Sandia`oscil_dcop_50`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_51 first: Sandia/oscil_dcop_01\n
1162`Sandia`oscil_dcop_51`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_52 first: Sandia/oscil_dcop_01\n
1163`Sandia`oscil_dcop_52`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_53 first: Sandia/oscil_dcop_01\n
1164`Sandia`oscil_dcop_53`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_54 first: Sandia/oscil_dcop_01\n
1165`Sandia`oscil_dcop_54`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_55 first: Sandia/oscil_dcop_01\n
1166`Sandia`oscil_dcop_55`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_56 first: Sandia/oscil_dcop_01\n
1167`Sandia`oscil_dcop_56`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: Sandia/oscil_dcop_57 first: Sandia/oscil_dcop_01\n
1168`Sandia`oscil_dcop_57`430`430`1544`yes`430`31`9`0`98%`70%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`subsequent circuit simulation problem`\nnext: - first: Sandia/oscil_dcop_01\n
1169`Sandia`oscil_trans_01`430`430`1614`yes`430`19`9`0`97%`72%`real`unsymmetric`no`no`R. Hoekstra`T. Davis`2003`circuit simulation problem`
1170`MathWorks`Pd`8081`8081`13036`yes`8081`7877`7877`0`0%`0%`real`unsymmetric`no`no`P. Anderson`T. Davis`2002`counter-example problem`
1171`MathWorks`Pd_rhs`8081`12406`6323`no`4368`2872`14549`0`0%`0%`real`rectangular`no`no`P. Anderson`T. Davis`2002`counter-example problem`
1172`MathWorks`Harvard500`500`500`2636`unknown`unknown`unknown`147`0`41%`41%`binary`unsymmetric`no`no`C. Moler`T. Davis`2002`directed graph`
1173`HB`cegb2802`2802`2802`277362`no`2694`3`109`0`symmetric`symmetric`binary`symmetric`no`no`A. Donovan`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1174`HB`cegb2919`2919`2919`321543`no`2859`3`61`0`symmetric`symmetric`binary`symmetric`no`no`A. Donovan`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1175`HB`cegb3024`3024`3024`79848`no`2996`3`29`0`symmetric`symmetric`binary`symmetric`no`no`A. Donovan`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1176`HB`cegb3306`3306`3306`74916`no`3222`3`85`0`symmetric`symmetric`binary`symmetric`no`no`A. Donovan`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1177`HB`lap_25`25`25`169`yes`25`1`1`0`symmetric`symmetric`binary`symmetric`yes`no`I. Duff`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1178`HB`lock1074`1074`1074`51588`no`1038`3`37`0`symmetric`symmetric`binary`symmetric`no`no`W. Loden`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1179`HB`lock2232`2232`2232`80352`no`2208`3`25`0`symmetric`symmetric`binary`symmetric`no`no`W. Loden`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1180`HB`lock3491`3491`3491`160444`no`3416`3`76`0`symmetric`symmetric`binary`symmetric`no`no`W. Loden`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1181`HB`lock_700`700`700`22175`no`691`3`10`0`symmetric`symmetric`binary`symmetric`no`no`W. Loden`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1182`HB`man_5976`5976`5976`225046`no`5882`3`95`0`symmetric`symmetric`binary`symmetric`no`no`T. Manteuffel`I. Duff, R. Grimes, J. Lewis`1980`structural problem`
1183`IBM_Austin`coupled`11341`11341`97193`yes`11341`49`1`1330`symmetric`78%`real`unsymmetric`no`no`E. Acar`T. Davis`2004`circuit simulation problem`
1184`ACUSIM`Pres_Poisson`14822`14822`715804`yes`14822`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`F. Shakib`T. Davis`2004`computational fluid dynamics problem`
1185`Rajat`rajat01`6833`6833`43250`yes`6833`507`66`0`100%`100%`binary`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1186`Rajat`rajat02`1960`1960`11187`yes`1960`58`10`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1187`Rajat`rajat03`7602`7602`32653`yes`7602`103`1`0`symmetric`40%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1188`Rajat`rajat04`1041`1041`8725`yes`1041`67`1`917`symmetric`4%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1189`Rajat`rajat05`301`301`1250`yes`301`15`9`134`77%`71%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1190`Rajat`rajat06`10922`10922`46983`yes`10922`123`1`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1191`Rajat`rajat07`14842`14842`63913`yes`14842`143`1`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1192`Rajat`rajat08`19362`19362`83443`yes`19362`163`1`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1193`Rajat`rajat09`24482`24482`105573`yes`24482`183`1`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1194`Rajat`rajat10`30202`30202`130303`yes`30202`203`1`0`symmetric`symmetric`binary`symmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1195`Rajat`rajat11`135`135`665`yes`135`7`1`147`89%`63%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1196`Rajat`rajat12`1879`1879`12818`yes`1879`24`1`108`symmetric`45%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1197`Rajat`rajat13`7598`7598`48762`yes`7598`134`109`160`symmetric`30%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1198`Rajat`rajat14`180`180`1475`yes`180`19`1`28`symmetric`2%`real`unsymmetric`no`no`Rajat`T. Davis`2004`circuit simulation problem`
1199`Hamrle`Hamrle1`32`32`98`yes`32`1`1`0`6%`0%`real`unsymmetric`no`no`J. Hamrle`T. Davis`2004`circuit simulation problem`
1200`Hamrle`Hamrle2`5952`5952`22162`yes`5952`1`1`0`0%`0%`real`unsymmetric`no`no`J. Hamrle`T. Davis`2004`circuit simulation problem`
1201`Hamrle`Hamrle3`1447360`1447360`5514242`yes`1447360`1`1`0`0%`0%`real`unsymmetric`no`no`J. Hamrle`T. Davis`2004`circuit simulation problem`
1202`Oberwolfach`gyro_k`17361`17361`1021159`yes`17361`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Billger`E. Rudnyi`2004`duplicate model reduction problem`
1203`Oberwolfach`gyro_m`17361`17361`340431`yes`17361`3`3`0`symmetric`symmetric`real`symmetric`yes`yes`D. Billger`E. Rudnyi`2004`duplicate model reduction problem`
1204`Oberwolfach`t2dah_a`11445`11445`176117`yes`11445`1`1`0`symmetric`symmetric`real`symmetric`no`no`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1205`Oberwolfach`t2dah_e`11445`11445`176117`yes`11445`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1206`Oberwolfach`t2dal_a`4257`4257`37465`yes`4257`1`1`0`symmetric`symmetric`real`symmetric`no`no`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1207`Oberwolfach`t2dal_e`4257`4257`4257`yes`4257`4257`4257`0`symmetric`symmetric`real`symmetric`yes`yes`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1208`Oberwolfach`t3dh_a`79171`79171`4352105`yes`79171`1`1`0`symmetric`symmetric`real`symmetric`no`no`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1209`Oberwolfach`t3dh_e`79171`79171`4352105`yes`79171`1`1`0`symmetric`symmetric`real`symmetric`yes`no`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1210`Oberwolfach`t3dl_a`20360`20360`509866`yes`20360`1`1`0`symmetric`symmetric`real`symmetric`no`no`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1211`Oberwolfach`t3dl_e`20360`20360`20360`yes`20360`20360`20360`0`symmetric`symmetric`real`symmetric`yes`yes`E. Rudnyi`E. Rudnyi`2004`duplicate model reduction problem`
1212`LiuWenzhuo`powersim`15838`15838`64424`yes`15838`3600`3600`3138`59%`53%`real`unsymmetric`no`no`W. Liu`T. Davis`2004`power network problem`
1213`Lin`Lin`256000`256000`1766400`yes`256000`1`1`0`symmetric`symmetric`real`symmetric`yes`no`C. Lin`T. Davis`2004`structural problem`
1214`Cannizzo`sts4098`4098`4098`72356`yes`4098`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`F. Cannizzo`T. Davis`2004`structural problem`
1215`GHS_indef`aug2d`29008`29008`76832`no`19208`2`1`0`symmetric`symmetric`integer`symmetric`no`no`N. Gould`N. Gould`1994`2D/3D problem`
1216`GHS_indef`aug2dc`30200`30200`80000`no`20000`2`1`0`symmetric`symmetric`integer`symmetric`no`no`N. Gould`N. Gould`1994`2D/3D problem`
1217`GHS_indef`aug3d`24300`24300`69984`no`11664`2`1`0`symmetric`symmetric`integer`symmetric`no`no`N. Gould`N. Gould`1994`2D/3D problem`
1218`GHS_indef`aug3dcqp`35543`35543`128115`yes`35543`2`2`0`symmetric`symmetric`real`symmetric`no`no`N. Gould`N. Gould`1994`2D/3D problem`
1219`GHS_indef`bmw3_2`227362`227362`11288630`yes`227362`1`1`0`symmetric`symmetric`real`symmetric`yes`no`S. Mayer`J. Koster`2004`structural problem`
1220`GHS_indef`c-55`32780`32780`403450`yes`32780`1`1`0`symmetric`symmetric`real`symmetric`no`no`IBM`O. Schenk`2004`optimization problem`\nRevised Nov 2006; relative eps changes to A, right-hand-side added.\nNote that this matrix should have been placed in the Schenk_IBMNA/ \ndirectory when it was first added in August 2004, but moving it now\nwould disrupt exising users of the collection.                     \n
1221`GHS_indef`c-58`37595`37595`552551`yes`37595`4`4`6`symmetric`symmetric`real`symmetric`no`no`IBM`O. Schenk`2004`optimization problem`\nRevised Nov 2006; relative eps changes to A, right-hand-side added.\nNote that this matrix should have been placed in the Schenk_IBMNA/ \ndirectory when it was first added in August 2004, but moving it now\nwould disrupt exising users of the collection.                     \n
1222`GHS_indef`c-59`41282`41282`480536`yes`41282`1`1`0`symmetric`symmetric`real`symmetric`no`no`IBM`O. Schenk`2004`optimization problem`\nRevised Nov 2006; relative eps changes to A, right-hand-side added.\nNote that this matrix should have been placed in the Schenk_IBMNA/ \ndirectory when it was first added in August 2004, but moving it now\nwould disrupt exising users of the collection.                     \n
1223`GHS_indef`c-62ghs`41731`41731`559339`yes`41731`3`3`4`symmetric`symmetric`real`symmetric`no`no`IBM`O. Schenk`2004`subsequent optimization problem`\nnext: - first: Schenk_IBMNA/c-62                                       \nA version of this matrix was first obtained from Olaf Schenk in October\n2003.  That version appears in this collection as Schenk_IBMNA/c-62.   \nIn August 2004, a new version appeared in the GHS collection, under the\nsame name, and was added here as GHS_indef/c-62ghs.  The c-62ghs matrix\nis the same as the version on Schenk's web site as of Nov 2006, except \nthat the right-hand-side was missing in the version in the UF Sparse   \nMatrix Collection (now included).  The two matrices c-62 and c-62ghs   \nare very similar, but not identical.                                   \n
1224`GHS_indef`c-63`44234`44234`434704`yes`44234`1`1`0`symmetric`symmetric`real`symmetric`no`no`IBM`O. Schenk`2004`optimization problem`\nRevised Nov 2006; relative eps changes to A, right-hand-side added.\nNote that this matrix should have been placed in the Schenk_IBMNA/ \ndirectory when it was first added in August 2004, but moving it now\nwould disrupt exising users of the collection.                     \n
